2333	109.91	2017-04-08 00:17:52
？？？？	88.273	2017-04-08 00:18:52
心疼大师	363.943	2017-04-08 00:34:02
23333	408.655	2017-04-08 00:59:54
(ω)	64	2017-04-08 01:02:30
好淡定	76.183	2017-04-08 01:02:48
没人？	27.101	2017-04-08 01:14:01
世道同款短袖	93.121	2017-04-08 01:15:09
好厉害	996.253	2017-04-08 01:17:58
23333333333333333333	71.294	2017-04-08 01:21:15
厉害了	34.291	2017-04-08 01:28:48
lovely cation	1060.08	2017-04-08 01:28:04
用上英文标题，不是骨灰饭都认不出来了~~~><	52.6101	2017-04-08 02:16:47
穿着妹妹的T恤么	97.9145	2017-04-08 02:18:19
拉奥！！！	820.465	2017-04-08 02:28:03
健次郎！！！	820.465	2017-04-08 02:30:05
吧务姐妹？	1042.01	2017-04-08 02:33:59
爆棚的好感度	431.544	2017-04-08 02:35:02
23333，校对一定没看过情深深雨蒙蒙	1241.64	2017-04-08 02:49:36
好想要	1292.47	2017-04-08 03:01:14
一本正经的胡说八道	126.02	2017-04-08 03:15:38
早看过了。。	1.094	2017-04-08 03:49:19
23333333333333	652	2017-04-08 03:51:57
大兄弟你这盲狙不行啊	652	2017-04-08 03:52:18
日常转换状态	273.041	2017-04-08 03:52:53
yooooooooooooo	877	2017-04-08 03:54:56
对了前面说换英文标题认不出来的幼儿园？	835.925	2017-04-08 03:55:53
还是吐槽一下你跑了不就误会了么。。	1310.94	2017-04-08 03:58:07
2333333	77.0732	2017-04-08 04:03:05
猛虎落地式	506.158	2017-04-08 04:22:06
yoooooo2333333	876.455	2017-04-08 04:31:24
哇，折纸这么好啊！	1325.31	2017-04-08 04:35:04
字幕组233333333	1236.16	2017-04-08 04:45:34
好像没看过	32.104	2017-04-08 05:02:17
wwwwwwww	464.566	2017-04-08 05:07:34
wwwwwwwwwwwwww	472.63	2017-04-08 05:09:21
www2wwwwwwwwwwwwwwww	488.011	2017-04-08 05:09:41
2333333	483.854	2017-04-08 05:34:42
爆表了啊哈哈哈哈哈哈	796.66	2017-04-08 05:39:43
23333333	1186.1	2017-04-08 05:46:50
233333333	761.938	2017-04-08 05:55:08
so	86.29	2017-04-08 06:05:49
啊！开大！是什么技能！ 	521.751	2017-04-08 06:16:11
不得了不得了	530.114	2017-04-08 06:23:32
我来证明你们开了弹幕	578.716	2017-04-08 06:38:37
弹幕啊	25.899	2017-04-08 06:56:36
233	492.567	2017-04-08 07:01:43
第一季的OVA	38.212	2017-04-08 07:10:39
我开弹幕了？	460.558	2017-04-08 07:37:33
大小姐你节操呢。。。	488.619	2017-04-08 08:00:42
ラオウとケンシロウ	836.249	2017-04-08 08:04:02
123	599.835	2017-04-08 08:26:13
神ed	1356.1	2017-04-08 08:37:54
23333	391.16	2017-04-08 08:40:01
hhhh	1078.24	2017-04-08 08:52:04
马季黑裤袜	1123.58	2017-04-08 09:59:25
喂110吗？	60.278	2017-04-08 10:25:26
6	786.252	2017-04-08 10:30:14
有自知之明	78.336	2017-04-08 10:37:29
要笑了	303.368	2017-04-08 10:40:36
2333	26.146	2017-04-08 10:40:55
一本正经的胡说八道	128.518	2017-04-08 10:41:18
笑死我了	46.902	2017-04-08 10:39:57
信长  这变态	56.053	2017-04-08 10:41:59
哈哈哈哈哈哈哈哈哈  这旁白  说的没毛病	120.694	2017-04-08 10:43:32
尴尬	346.649	2017-04-08 10:43:52
哈哈哈哈哈哈哈哈哈	568.955	2017-04-08 10:48:03
十香反转了吗233333	658.519	2017-04-08 10:48:38
233	782.863	2017-04-08 10:50:23
Yoooooooo	879.585	2017-04-08 10:52:26
233	996.389	2017-04-08 10:53:19
233333  大师	1120.59	2017-04-08 10:55:57
哈哈哈哈	1345.08	2017-04-08 10:58:13
路人的表情亮了	449.619	2017-04-08 11:21:58
